PM2.5,PM10,CO,O3,NH3,AQI,AQI_Category
38.45,118.45443537491555,10.55,3.24,23.84836627716501,241.0,Very Poor
46.69,118.45443537491555,11.48,5.76,23.84836627716501,222.0,Very Poor
55.27,118.45443537491555,11.55,6.55,23.84836627716501,223.0,Very Poor
149.03,118.45443537491555,11.49,7.27,23.84836627716501,248.0,Very Poor
86.57,118.45443537491555,11.47,6.53,23.84836627716501,300.0,Very Poor
111.77,118.45443537491555,11.3,4.67,23.84836627716501,232.0,Very Poor
151.4,118.45443537491555,10.8,5.46,23.84836627716501,330.0,Severe
51.35,118.45443537491555,8.0,5.76,23.84836627716501,223.0,Very Poor
65.37,118.45443537491555,0.64,8.02,23.84836627716501,105.0,Poor
56.28,118.45443537491555,0.6,6.2,23.84836627716501,101.0,Poor
48.17,118.45443537491555,0.65,7.97,23.84836627716501,93.0,Moderate
33.56,118.45443537491555,0.72,10.18,23.84836627716501,67.0,Moderate
31.3,118.45443537491555,0.55,7.44,23.84836627716501,60.0,Moderate
57.11,118.45443537491555,0.55,2.6,23.84836627716501,90.0,Moderate
34.72,118.45443537491555,0.1,4.87,23.84836627716501,78.0,Moderate
29.22,118.45443537491555,0.06,5.08,23.84836627716501,48.0,Good
29.79,118.45443537491555,0.14,5.34,23.84836627716501,53.0,Moderate
59.95,118.45443537491555,0.18,2.79,23.84836627716501,91.0,Moderate
19.2,118.45443537491555,1.52,4.61,23.84836627716501,70.0,Moderate
19.52,118.45443537491555,5.89,4.4,23.84836627716501,157.0,Poor
35.16,118.45443537491555,5.75,3.67,23.84836627716501,158.0,Poor
33.03,118.45443537491555,7.01,3.53,23.84836627716501,169.0,Poor
40.95,118.45443537491555,6.92,3.38,23.84836627716501,174.0,Poor
40.29,118.45443537491555,6.74,3.57,23.84836627716501,173.0,Poor
41.16,118.45443537491555,6.91,3.69,23.84836627716501,172.0,Poor
36.12,118.45443537491555,7.21,6.08,23.84836627716501,190.0,Poor
28.51,118.45443537491555,6.69,7.65,23.84836627716501,171.0,Poor
31.59,118.45443537491555,6.99,7.9,23.84836627716501,168.0,Poor
42.56,118.45443537491555,7.17,9.86,23.84836627716501,172.0,Poor
48.12,118.45443537491555,7.14,12.78,23.84836627716501,173.0,Poor
37.09,118.45443537491555,7.22,7.94,23.84836627716501,175.0,Poor
33.4,118.45443537491555,7.4,8.39,23.84836627716501,179.0,Poor
38.64,118.45443537491555,7.35,6.28,23.84836627716501,174.0,Poor
